customerID,creditCardNumber,creditCardName,expiryMonth,expiryYear
1,5048378651250720,Jordan C,3,2030
2,5048378651250730,Alexandra,7,2024
3,5048378651250740,Inge,4,2024
4,5048378651250750,Van,1,2025
5,5048378651250760,Ros,7,2029
6,5048378651250770,Arabela,10,2026
7,5048378651250780,Vidovic,6,2023
8,5048378651250790,Gabriel,4,2030
9,5048378651250800,Dalt,11,2023
10,5048378651250810,Hersh,3,2023
11,5048378651250820,Kaycee,6,2026
12,5048378651250830,Brand,12,2027
13,5048378651250840,Ellissa,11,2022
14,5048378651250850,Grover,9,2029
15,5048378651250860,Dorice,7,2022
16,5048378651250870,Doll,12,2030
17,5048378651250880,Alvie,7,2024
18,5048378651250890,Forester,6,2027
19,5048378651250900,Valentia,4,2024
20,5048378651250910,Tynan,9,2027
21,5048378651250920,Egbert,2,2021
22,5048378651250930,Elton,5,2025
23,5048378651250940,Horst,4,2025
24,5048378651250950,Merill,5,2024
25,5048378651250960,Ignacius,12,2023
26,5048378651250970,Shelly,10,2025
27,5048378651250980,Atalanta,12,2021
28,5048378651250990,Jaymie,6,2030
29,5048378651251000,Trudie,11,2029
30,5048378651251010,Elsie,9,2025
31,5048378651251020,Bellina,5,2028
32,5048378651251030,Alyss,2,2027
33,5048378651251040,Monika,1,2029
34,5048378651251050,Lauri,11,2028
35,5048378651251060,Aeriell,10,2023
36,5048378651251070,Krisha,11,2022
37,5048378651251080,Hayden,4,2023
38,5048378651251090,Monica,2,2029
39,5048378651251100,Biddy,3,2029
40,5048378651251110,Ralph,12,2021
41,5048378651251120,Temp,9,2025
42,5048378651251130,Lotte,3,2022
43,5048378651251140,Dorothee,1,2021
44,5048378651251150,Hammad,4,2024
45,5048378651251160,Amelita,9,2026
46,5048378651251170,Jarrod,10,2023
47,5048378651251180,Isis,1,2027
48,5048378651251190,Reggie,10,2027
49,5048378651251200,Gunilla,6,2021
50,5048378651251210,Bell,1,2025
51,5048378651251220,Meier,9,2026
52,5048378651251230,Borden,10,2025
53,5048378651251240,Sigismondo,8,2024
54,5048378651251250,Gerty,5,2023
55,5048378651251260,Ainsley,3,2024
