orderID,status,orderPlacedTimeStamp,riderDepartForResTimeStamp,riderArriveAtResTimeStamp,riderCollectOrderTimeStamp,riderDeliverOrderTimeStamp,specialRequest,deliveryAddress,riderID,deliveryID
1,TRUE,2020-04-16 20:49:25,2020-04-16 20:52:25,2020-04-16 20:57:25,2020-04-16 21:06:25,2020-04-16 21:06:25,Please pack nicely. Thanks,11 Farragut Terrace,1,5
2,TRUE,2020-04-25 12:13:04,2020-04-25 12:22:04,2020-04-25 12:24:04,2020-04-25 12:27:04,2020-04-25 12:27:04,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,8507 Del Sol Hill,3,2
3,TRUE,2020-04-17 12:28:35,2020-04-17 12:33:35,2020-04-17 12:39:35,2020-04-17 12:44:35,2020-04-17 12:50:35,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,25928 Village Way,5,4
4,TRUE,2020-04-13 17:39:25,2020-04-13 17:44:25,2020-04-13 17:52:25,2020-04-13 17:52:25,2020-04-13 17:59:25,,03 Eastwood Junction,7,1
5,TRUE,2020-04-27 19:44:11,2020-04-27 19:53:11,2020-04-27 19:56:11,2020-04-27 20:00:11,2020-04-27 20:02:11,,32 Katie Way,9,2
6,TRUE,2020-04-07 13:45:28,2020-04-07 13:47:28,2020-04-07 13:50:28,2020-04-07 13:56:28,2020-04-07 14:04:28,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,659 Cambridge Lane,11,4
7,TRUE,2020-04-20 21:09:13,2020-04-20 21:15:13,2020-04-20 21:16:13,2020-04-20 21:16:13,2020-04-20 21:18:13,,69614 Ludington Circle,13,9
8,TRUE,2020-04-08 11:35:37,2020-04-08 11:36:37,2020-04-08 11:45:37,2020-04-08 11:50:37,2020-04-08 11:55:37,,2 Lunder Point,15,4
9,TRUE,2020-04-09 20:19:15,2020-04-09 20:23:15,2020-04-09 20:23:15,2020-04-09 20:24:15,2020-04-09 20:28:15,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,8880 Fair Oaks Terrace,17,3
10,TRUE,2020-04-21 14:21:19,2020-04-21 14:29:19,2020-04-21 14:32:19,2020-04-21 14:37:19,2020-04-21 14:39:19,,82 Novick Street,19,2
11,TRUE,2020-04-22 20:42:54,2020-04-22 20:44:54,2020-04-22 20:44:54,2020-04-22 20:52:54,2020-04-22 20:59:54,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,817 Loeprich Circle,21,7
12,TRUE,2020-04-16 15:50:55,2020-04-16 15:51:55,2020-04-16 15:52:55,2020-04-16 16:01:55,2020-04-16 16:06:55,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,18 Graceland Trail,23,2
13,TRUE,2020-04-15 11:01:39,2020-04-15 11:03:39,2020-04-15 11:03:39,2020-04-15 11:06:39,2020-04-15 11:09:39,,6191 Mariners Cove Drive,25,5
14,TRUE,2020-04-18 11:06:39,2020-04-18 11:14:39,2020-04-18 11:16:39,2020-04-18 11:23:39,2020-04-18 11:32:39,,2 Forest Avenue,27,4
