restaurantStaffID ,restaurantStaffName ,contactNum,restaurantID 
1,Lee Yun,90601456,1
2,Si,94700644,1
3,Tabor,84177376,2
4,Britte,92069445,2
5,Boyce,95886690,3
6,Bengt,80158542,3
7,Anica,90620789,4
8,Carey,87375142,4
9,Lem,95521514,5
10,Kirk,91877351,5
11,Lenci,90515079,6
12,Ibbie,87247766,6
13,Westleigh,91445438,7
14,Vanda,81965423,7
15,Adolphe,91998590,8
16,Jeth,95957297,8
17,Edita,99736224,9
18,Kendricks,92256601,9
19,Ricardo,93609363,10
20,Symon,98697481,10
21,Nadean,85511513,11
22,Jehanna,99039412,11
23,Otes,89432132,12
24,Klaus,88715056,12
25,Reggie,94360799,13
26,Brina,95267498,13
27,Garvin,84608907,14
28,Cammi,94022937,14
29,Herby,81209214,15
30,Dedie,96513326,15
31,Tamiko,85908513,16
32,Al,94068453,16
33,Whitby,82902643,17
34,Tremain,95521611,17
35,Berton,80186506,18
36,Marcela,93158209,18
37,Lanette,99151043,19
38,Jeddy,94796219,19
39,Malorie,90193660,20
40,Gordie,96700688,20
